INSEE_CODE;TOWN;DEPARTMENT;LATITUDE;LONGITUDE;ALTITUDE;MONTH;TEMP_MAX;TEMP_MIN;AVG_TEMP
010140;ARBENT;01;46.278167;5.669;534;1;9.3;-9.0;1.22
010270;BALAN_AERO;01;45.833;5.106667;196;1;10.5;-3.3;3.62
010330;BELLEGARDE;01;46.0865;5.814167;350;1;8.7;-5.3;1.23
010340;BELLEY;01;45.769333;5.688;330;1;9.2;-3.5;2.26
010640;VERIZIEU;01;45.777167;5.487167;281;1;9.6;-2.1;2.78
010710;CESSY;01;46.310333;6.080333;507;1;7.9;-4.4;1.68
010720;CEYZERIAT_SAPC;01;46.204333;5.287667;260;1;9.9;-4.0;2.76
010890;AMBERIEU;01;45.9765;5.329333;250;1;10.5;-9.5;2.24
011430;DIVONNE ZA;01;46.3415;6.139667;467;1;6.2;-2.3;1.97
011740;GIRON;01;46.23;5.7725;1015;1;6.3;-5.9;-0.3
012000;LA BALME SUR CERDON_SAPC;01;46.09;5.482;596;1;8.0;-5.7;1.31
012040;BURL;01;46.166667;5.706667;530;1;5.8;-4.7;-0.85
012350;MARLIEUX;01;46.0385;5.044333;280;1;9.9;-3.8;2.91
012470;MIJOUX;01;46.378833;6.019333;1002;1;2.1;-5.2;-1.4
012550;MONTAGNIEU;01;45.794333;5.469333;336;1;9.0;-2.4;2.12
012690;NANTUA;01;46.148167;5.607333;483;1;5.7;0.4;2.9
012830;OYONNAX;01;46.271667;5.661667;535;1;8.2;-4.4;1.28
013010;POLLIAT;01;46.236667;5.11;201;1;7.0;0.5;3.7
013670;SAINT JULIEN SUR REYSSOUZE;01;46.403167;5.109833;189;1;8.8;-0.6;3.55
013840;ST RAMBERT CG01;01;45.950333;5.461;296;1;7.9;-2.8;1.93
014140;SUTRIEU;01;45.916167;5.624667;878;1;7.1;-5.5;0.57
014190;THOIRY;01;46.241667;5.968333;605;1;4.8;-1.8;0.78
010140;ARBENT;01;46.278167;5.669;534;2;12.4;-11.7;1.83
010270;BALAN_AERO;01;45.833;5.106667;196;2;13.3;-1.3;5.5
010330;BELLEGARDE;01;46.0865;5.814167;350;2;12.8;-6.9;2.70
010340;BELLEY;01;45.769333;5.688;330;2;12.4;-5.3;3.90
010640;VERIZIEU;01;45.777167;5.487167;281;2;13.5;-1.4;6.52
010710;CESSY;01;46.310333;6.080333;507;2;11.2;-6.4;2.52
010720;CEYZERIAT_SAPC;01;46.204333;5.287667;260;2;12.5;-6.4;4.0
010890;AMBERIEU;01;45.9765;5.329333;250;2;14.0;-13.5;3.58
011430;DIVONNE ZA;01;46.3415;6.139667;467;2;11.0;-2.3;4.07
011740;GIRON;01;46.23;5.7725;1015;2;7.3;-8.7;-0.77
012000;LA BALME SUR CERDON_SAPC;01;46.09;5.482;596;2;10.6;-7.9;2.44
012040;BURL;01;46.166667;5.706667;530;2;8.4;-4.3;0.92
012350;MARLIEUX;01;46.0385;5.044333;280;2;12.6;-5.2;4.02
012470;MIJOUX;01;46.378833;6.019333;1002;2;5.9;-5.6;-1.0
012550;MONTAGNIEU;01;45.794333;5.469333;336;2;11.9;-5.4;3.0
012690;NANTUA;01;46.148167;5.607333;483;2;9.8;-0.4;3.7
012830;OYONNAX;01;46.271667;5.661667;535;2;9.2;-5.6;1.08
013010;POLLIAT;01;46.236667;5.11;201;2;11.5;-1.5;4.37
013670;SAINT JULIEN SUR REYSSOUZE;01;46.403167;5.109833;189;2;13.0;0.1;6.32
013840;ST RAMBERT CG01;01;45.950333;5.461;296;2;11.7;-7.1;2.81
014140;SUTRIEU;01;45.916167;5.624667;878;2;9.3;-7.7;1.17
014190;THOIRY;01;46.241667;5.968333;605;2;8.3;-2.2;2.42
010140;ARBENT;01;46.278167;5.669;534;3;15.5;-2.6;5.23
010270;BALAN_AERO;01;45.833;5.106667;196;3;16.4;1.4;8.4
010330;BELLEGARDE;01;46.0865;5.814167;350;3;17.1;-0.2;6.39
010340;BELLEY;01;45.769333;5.688;330;3;17.2;1.8;7.87
010640;VERIZIEU;01;45.777167;5.487167;281;3;16.1;1.3;8.14
010710;CESSY;01;46.310333;6.080333;507;3;15.2;0.5;6.38
010720;CEYZERIAT_SAPC;01;46.204333;5.287667;260;3;16.6;0.4;7.28
010890;AMBERIEU;01;45.9765;5.329333;250;3;17.3;-3.4;7.00
011430;DIVONNE ZA;01;46.3415;6.139667;467;3;15.1;-0.4;6.6
011740;GIRON;01;46.23;5.7725;1015;3;13.0;-1.2;3.86
012000;LA BALME SUR CERDON_SAPC;01;46.09;5.482;596;3;15.2;-0.4;5.44
012040;BURL;01;46.166667;5.706667;530;3;11.9;-1.4;4.23
012350;MARLIEUX;01;46.0385;5.044333;280;3;16.2;1.6;7.54
012470;MIJOUX;01;46.378833;6.019333;1002;3;9.1;-1.5;3.3
012550;MONTAGNIEU;01;45.794333;5.469333;336;3;17.1;2.2;7.6
012690;NANTUA;01;46.148167;5.607333;483;3;16.2;3.0;8.35
012830;OYONNAX;01;46.271667;5.661667;535;3;15.5;-1.0;5.47
013010;POLLIAT;01;46.236667;5.11;201;3;11.7;1.1;5.9
013670;SAINT JULIEN SUR REYSSOUZE;01;46.403167;5.109833;189;3;16.0;1.4;8.2
013840;ST RAMBERT CG01;01;45.950333;5.461;296;3;21.2;0.5;6.77
014140;SUTRIEU;01;45.916167;5.624667;878;3;13.8;-1.5;4.51
014190;THOIRY;01;46.241667;5.968333;605;3;10.9;0.9;6.08
010140;ARBENT;01;46.278167;5.669;534;4;21.6;-1.3;9.18
010270;BALAN_AERO;01;45.833;5.106667;196;4;21.9;3.9;12.01
010330;BELLEGARDE;01;46.0865;5.814167;350;4;22.9;2.1;10.34
010340;BELLEY;01;45.769333;5.688;330;4;22.8;4.8;11.98
